English,Actual Nepali,Predicted Nepali
It has launched the International Space Station for scientific and astronomical studies.,यसले अन्तरिक्षमा वैज्ञानिक अनुसन्धान तथा खगोल विज्ञानसम्बन्धी खोज अनुसन्धानका लागि अन्तर्राष्ट्रिय स्पेस स्टेसन प्रक्षेपण गरेको छ।,यसले वैज्ञानिक तथा अस्ट्रोनिक अध्ययनका लागि अन्तर्राष्ट्रिय स्पेस स्टेसन चालू गरेको छ।
The heartbeat is due to its contraction and relaxation.,यसका खुम्चाइ र फुकाइका कारण मुटुमा धड्कन सिर्जना हुन्छ।,मुटुको कच्चा र विश्राम गर्दा हुन्छ।
The direction of the answer must always be clear.,उत्तरको दिशा सधैं स्पष्ट हुनु पर्छ।,उत्तरको दिशा सधैं स्पष्ट हुनुपर्छ।
"By befriending death and time, life can be directed towards a positive path.",काल र समयसँग मित्रता गरेर जीवनलाई सकारात्मक दिशामा लग्न सकिन्छ।,काल र समयको साथी गरेर सकारात्मक मार्गतर्फ जीवनलाई मार्गदर्शन गर्न सकिन्छ।
"I have allocated Rs. 8 billion 390 million for the mid-day meal program, which will benefit three million students from early child education to grade five.",प्रारम्भिक बाल शिक्षा देखि कक्षा पाँचसम्मका तीस लाख विद्यार्थी लाभान्वित हुने मध्याह्न खाजा कार्यक्रमका लागि रु. ८ अर्ब ३९ करोड विनियोजन गरिएको छ।,"दिनको मध्य भोजन कार्यक्रमका लागि रु. ८ अर्ब ३९ करोड विनियोजन गरिएको छ, जसले प्रारम्भ बच्चा शिक्षाबाट पाँच लाख विद"
Pine trees are found abundantly in the forest.,सालको रुख जंगलमा धेरै पाइन्छ।,सालको रूख जंगलमा धेरै पाइन्छ।
The direction of the answer can be easily understood.,उत्तरको दिशा सजिलै बुझ्न सकिन्छ।,उत्तरको दिशा सजिलै बुझ्न सकिन्छ।
"We are using the energy carried by light waves, heat waves from the sun, communication waves from different FM radio transmitters, waves used in mobile technology, waves from Wi-Fi routers, and others.","हामीले प्रकाशका तरङ्ग, घाममा न्यानो दिने तरङ्ग, सञ्चारका लागि विभिन्न एफ.एम.रेडियो ट्रान्समिटरबाट प्रसारित तरङ्ग, मोबाइल सञ्चारका लागि प्रयोग हुने तरङ्ग, घरमा वाइफाइ राउटरले छोड्ने तरङ्ग आदिले बोक्ने शक्तिको प्रयोग गरिरहेका हुन्छौँ।","प्रकाश तरङ्गले बोकेको शक्ति, सूर्यबाट तापको तरङ्ग, फ्म रेडियो ट्रान्समिटरका विभिन्न तरङ्ग, मोब"
Copyright will be protected and regulated.,प्रतिलिपि अधिकारको संरक्षण र नियमन गरिनेछ।,अधिकारको रक्षा संरक्षण र नियमन गरिनेछ।
Fossils are only found in sedimentary rock.,जीवावशेष पत्र चट्टानमा मात्र पाइन्छ।,फोसहरू सेजिडमरी चट्टानमा मात्र पाइन्छन्।
A combination of anger and worry has submerged everyone in stress.,मन्यु र चिन्ताको संयोजनले सबैलाई तनावमा डुबायो।,मन्यु र चिन्ताको संयोजनले सबैलाई तनावमा पुगेको छ।
Gum is prepared from latex.,लेटेक्सबाट गम बनाइन्छ।,गुमलाई लेटेक्सबाट तयार गरिन्छ।
That key is for opening your house door.,त्यो साँचो तपाईंको घरको ढोका खोल्नका लागि हो।,त्यो साँचो तपाईंको घरको ढोका खोल्नु हो।
The government has imposed penalties on those who violate traffic rules.,सरकारले यातायात नियम उल्लंघन गर्नेहरूलाई दण्ड लगाएको छ।,सडकको नियम चुक गर्नेहरूलाई सरकारले दण्ड लगाएको छ।
The boy standing on the cliff is my childhood.,भीरमाथि उभिरहेको किशोर मेरो बाल्यकाल हो ।,भीरमा उभिएको केटा मेरो बच्चापन हो।
The essence of fast food is filled with taste and zing.,फास्ट फुडको रसलाई स्वाद र झंकारले भरिन्छ।,द्रुत खानाको रस स्वाद र जिङले भरिएको छ।
Uses of plant growth hormones,वनस्पति वृद्धि हर्मोनका उपयोगिताहरू,वनस्पति वृद्धि हर्मोनहरूको उपयोग
